"Sample","WGS/WES","Source","Organism","Events","Hyper","Body Site/Study","Status","Type","AEI","REI","ADAR","ADARB1","ADARB2"
"SRR1499064","NA","G","Hs","149220","0","Esophagus - Mucosa","normal","B","1.756","2.687","80.811","10.466","0.657"
"SRR1499108","SRR8233704","G","Hs","68104","0","Cells - Transformed fibroblasts","normal","B","1.132","0.805","144.708","62.762","0.013"
"SRR1499156","SRR8233217","G","Hs","97109","0","Testis","normal","B","1.582","2.143","74.529","7.946","1.583"
"SRR1499174","SRR8233194","G","Hs","47683","0","Adipose - Subcutaneous","normal","B","1.503","7.425","74.260","37.640","0.521"
"SRR1499193","SRR8233161","G","Hs","37000","0","Brain - Cortex","normal","B","1.647","1.465","33.802","6.196","9.535"
"SRR1499215","SRR8233149","G","Hs","126515","0","Prostate","normal","B","1.800","2.378","61.081","14.103","0.301"
"SRR1499236","SRR8233684","G","Hs","162171","0","Nerve - Tibial","normal","B","2.141","2.860","99.302","11.853","12.099"
"SRR1499260","SRR8233637","G","Hs","43428","17598","Colon - Sigmoid","normal","B","1.455","4.330","61.882","60.528","2.025"
"SRR1499284","SRR8233242","G","Hs","114460","0","Pituitary","normal","B","2.033","0.000","116.895","6.982","0.283"
"SRR1499303","SRR8233710","G","Hs","52822","0","Adipose - Visceral (Omentum)","normal","B","2.068","1.743","95.270","13.824","0.041"
"SRR1499325","SRR8233142","G","Hs","68126","0","Esophagus - Gastroesophageal Junction","normal","B","1.976","17.091","53.817","39.330","0.501"
"SRR1499347","SRR8233275","G","Hs","57264","0","Esophagus - Mucosa","normal","B","1.086","0.750","41.277","6.243","0.906"
"SRR1499371","SRR8233676","G","Hs","75342","0","Artery - Tibial","normal","B","2.056","15.781","98.339","157.114","0.158"
"SRR1499395","SRR8233755","G","Hs","30253","0","Liver","normal","B","1.121","8.901","37.360","2.962","0.052"
"SRR1499418","NA","G","Hs","116007","0","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.936","1.560","46.014","22.274","0.199"
"SRR1499442","SRR8233211","G","Hs","124489","0","Brain - Cerebellar Hemisphere","normal","B","2.224","2.261","96.712","70.896","6.266"
