Comparison,p_adjusted,Significance
PAAD_vs_DLBC,1.3722664634471324e-06,***
PAAD_vs_KICH,1.933626267202205e-15,***
PAAD_vs_UCS,0.05904650187546084,ns
PAAD_vs_ACC,0.9116881382838747,ns
PAAD_vs_PCPG,1.2918214685022257e-22,***
PAAD_vs_UVM,1.0140729972989789e-14,***
KIRP_vs_LIHC,6.587512345676105e-75,***
KIRP_vs_CESC,0.15792760423058927,ns
KIRP_vs_SARC,7.328693331685799e-24,***
KIRP_vs_BRCA,9.58166231448557e-66,***
KIRP_vs_THYM,0.021763570689682134,*
KIRP_vs_MESO,2.6582053799715376e-11,***
KIRP_vs_COAD,3.2831609749635833e-06,***
KIRP_vs_STAD,9.916051607323344e-47,***
KIRP_vs_CHOL,8.740908900404897e-10,***
KIRP_vs_KIRC,8.215388272645071e-24,***
KIRP_vs_THCA,1.1027834596731236e-59,***
KIRP_vs_HNSC,0.33903723177695244,ns
KIRP_vs_READ,2.143478473395169e-08,***
KIRP_vs_SKCM,0.5624250968051999,ns
KIRP_vs_LGG,6.685989503155403e-49,***
KIRP_vs_DLBC,0.010764770196112387,*
KIRP_vs_KICH,6.363545446565057e-09,***
KIRP_vs_UCS,1.0595916309938755e-06,***
KIRP_vs_ACC,0.000604799079099007,***
KIRP_vs_PCPG,7.210932642340032e-45,***
KIRP_vs_UVM,1.0332472983144876e-06,***
LIHC_vs_CESC,2.6316880659615773e-66,***
LIHC_vs_SARC,2.0672096641746486e-24,***
LIHC_vs_BRCA,3.4161380182456877e-29,***
LIHC_vs_THYM,4.534976087966837e-30,***
LIHC_vs_MESO,2.32647148576517e-14,***
LIHC_vs_COAD,1.2971905838838301e-79,***
LIHC_vs_STAD,0.745331529792887,ns
LIHC_vs_CHOL,0.0031116420236472157,**
LIHC_vs_KIRC,3.5633213867668126e-63,***
LIHC_vs_THCA,9.538433121735795e-19,***
LIHC_vs_HNSC,2.0142015923244182e-86,***
LIHC_vs_READ,1.6417440445693045e-41,***
LIHC_vs_SKCM,5.803721999952788e-32,***
LIHC_vs_LGG,1.4726195932994665e-46,***
LIHC_vs_DLBC,4.253013388309618e-22,***
LIHC_vs_KICH,1.5754644350568e-32,***
LIHC_vs_UCS,4.19096301256363e-12,***
LIHC_vs_ACC,3.954622930633678e-18,***
LIHC_vs_PCPG,7.937686441360505e-06,***
LIHC_vs_UVM,1.2781257927745695e-38,***
CESC_vs_SARC,1.9198121914735375e-17,***
CESC_vs_BRCA,3.900251625985531e-52,***
CESC_vs_THYM,0.18696204085239596,ns
CESC_vs_MESO,2.847802067824839e-08,***
CESC_vs_COAD,3.313998229698654e-08,***
CESC_vs_STAD,6.988972433763879e-42,***
CESC_vs_CHOL,7.354659025709301e-08,***
CESC_vs_KIRC,2.192513190799311e-15,***
CESC_vs_THCA,1.2923784439122298e-47,***
CESC_vs_HNSC,0.6020755359018992,ns
CESC_vs_READ,2.3725466243135987e-09,***
CESC_vs_SKCM,0.798870078723459,ns
CESC_vs_LGG,7.179904079031959e-36,***
CESC_vs_DLBC,0.0028409697845192153,**
CESC_vs_KICH,3.047673225464772e-09,***
CESC_vs_UCS,8.620960019945824e-05,***
CESC_vs_ACC,0.014458634628907561,*
CESC_vs_PCPG,5.682163765722809e-37,***
CESC_vs_UVM,1.1869566843092435e-07,***
SARC_vs_BRCA,3.8990666038726475e-05,***
SARC_vs_THYM,1.4160666409862697e-06,***
SARC_vs_MESO,0.7771082381837727,ns
SARC_vs_COAD,1.7277436206440756e-36,***
SARC_vs_STAD,2.6660367553481926e-15,***
SARC_vs_CHOL,0.0649588247242368,ns
SARC_vs_KIRC,0.002150734112094918,**
SARC_vs_THCA,3.4861363330829927e-06,***
SARC_vs_HNSC,2.242510456125781e-22,***
SARC_vs_READ,4.68561689288605e-25,***
SARC_vs_SKCM,7.441901672199533e-10,***
SARC_vs_LGG,0.3590444114837489,ns
SARC_vs_DLBC,1.987338559559372e-11,***
SARC_vs_KICH,2.348242535553644e-22,***
SARC_vs_UCS,0.3194467314507892,ns
SARC_vs_ACC,0.002064605088481657,**
SARC_vs_PCPG,5.853178509266509e-09,***
SARC_vs_UVM,1.3642665783600645e-23,***
BRCA_vs_THYM,5.425964052036144e-16,***
BRCA_vs_MESO,0.003270193399638993,**
BRCA_vs_COAD,1.8092269496230421e-81,***
BRCA_vs_STAD,2.584488871517324e-18,***
BRCA_vs_CHOL,0.6020755359018992,ns
BRCA_vs_KIRC,1.343238382635766e-28,***
BRCA_vs_THCA,0.1823141621416066,ns
BRCA_vs_HNSC,1.9819826417346447e-77,***
BRCA_vs_READ,2.2113592967088694e-38,***
BRCA_vs_SKCM,5.8120993607764204e-21,***
BRCA_vs_LGG,9.002383582591352e-09,***
BRCA_vs_DLBC,3.3966321631457835e-17,***
BRCA_vs_KICH,6.341756273807887e-31,***
BRCA_vs_UCS,0.001224379911647288,**
BRCA_vs_ACC,9.482499654877234e-09,***
BRCA_vs_PCPG,4.8172860443875105e-05,***
BRCA_vs_UVM,2.1385216305562704e-36,***
THYM_vs_MESO,0.000638326909169187,***
THYM_vs_COAD,2.05813394169163e-07,***
THYM_vs_STAD,3.473006861231138e-19,***
THYM_vs_CHOL,2.926012710355943e-05,***
THYM_vs_KIRC,0.0006538132750959675,***
THYM_vs_THCA,9.85229322258597e-17,***
THYM_vs_HNSC,0.07718903556950624,ns
THYM_vs_READ,7.94971120602293e-09,***
THYM_vs_SKCM,0.19428165914878262,ns
THYM_vs_LGG,5.642776268107293e-10,***
THYM_vs_DLBC,0.001183035379777386,**
THYM_vs_KICH,1.5230114781102157e-08,***
THYM_vs_UCS,0.02814078175631718,*
THYM_vs_ACC,0.28316643165999467,ns
THYM_vs_PCPG,7.7039492012686e-18,***
THYM_vs_UVM,3.776819355367932e-07,***
MESO_vs_COAD,2.3259176609772873e-17,***
