MutationType	0	1	2	3	4
1898.00000000	0.00427846	0.00257069	0.00368356	0.00845345	0.00083655
2491.00000000	0.00900755	0.00112777	0.00063990	0.00462615	0.00113966
5150.00000000	0.15876006	0.00579654	0.10933863	0.00435013	0.01214913
971.00000000	0.00582586	0.00103642	0.00097879	0.00232640	0.00121789
0.00000000	0.00000952	0.00001080	0.00011466	0.00008820	0.00001210
0.00000000	0.00003930	0.00105942	0.00008140	0.00101574	0.00020332
0.00000000	0.00002760	0.00061339	0.00038459	0.00047804	0.00007520
0.00000000	0.00002510	0.00063141	0.00018074	0.00022767	0.00003610
0.00000000	0.00011109	0.00040785	0.00008590	0.00066926	0.00039743
0.00000000	0.00028876	0.00152560	0.00103468	0.00120950	0.00180505
0.00000000	0.00005980	0.00071564	0.00025676	0.00010486	0.00067610
0.00000000	0.00220307	0.00064968	0.00111242	0.00354742	0.00258496
0.00000000	0.00013731	0.00008950	0.00011044	0.00017708	0.00003520
0.00000000	0.00000237	0.00000383	0.00000296	0.00004450	0.00079303
0.00000000	0.00007580	0.00000092	0.00001280	0.00001080	0.00000544
0.00000000	0.00006410	0.00117718	0.00076104	0.00026161	0.00046920
0.00000000	0.00179270	0.02206220	0.00189597	0.00666557	0.00015186
0.00000000	0.00112769	0.00642457	0.00599526	0.01336899	0.00112911
0.00000000	0.00341049	0.06775126	0.01353763	0.01086338	0.00157059
0.00000000	0.00158873	0.00128311	0.00909797	0.00401572	0.00270558
0.00000000	0.00040055	0.00265683	0.00073018	0.00627414	0.00179683
0.00000000	0.00139208	0.00943476	0.00948902	0.06022234	0.00217872
0.00000000	0.00161199	0.00173006	0.00591180	0.02012525	0.00445931
0.00000000	0.00025848	0.00311504	0.00151481	0.00470042	0.00451769
0.00000000	0.00023847	0.00030470	0.00073338	0.00055357	0.00018920
0.00000000	0.00003340	0.00000882	0.00016747	0.00001810	0.00079469
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00000704	0.00002970	0.00004080	0.00010377	0.00028286
0.00000000	0.00017615	0.00032018	0.00143881	0.00020257	0.01259361
0.00000000	0.00004900	0.00020238	0.00052454	0.00018297	0.01337410
0.00000000	0.00004520	0.00053201	0.00007730	0.00015449	0.00265320
0.00000000	0.00010601	0.00094971	0.00070559	0.00030539	0.02345858
0.00000000	0.00002110	0.00016642	0.00023863	0.00017843	0.00074276
0.00000000	0.00008180	0.00026563	0.00030220	0.00352901	0.00008600
0.00000000	0.00008500	0.00069869	0.00035501	0.00104324	0.00009610
0.00000000	0.00001250	0.00006370	0.00006550	0.00007200	0.00121075
0.00000000	0.00312484	0.00069832	0.00743259	0.03195879	0.01068469
0.00000000	0.02094510	0.01004639	0.16690184	0.00160818	0.01598203
0.00000000	0.00046024	0.00044844	0.00124413	0.01361750	0.00099194
0.00000000	0.00147651	0.00060502	0.00065475	0.01421165	0.00094137
0.00000000	0.00004570	0.00007320	0.00001790	0.00051335	0.00012018
0.00000000	0.00001350	0.00003020	0.00001220	0.00018365	0.00000405
0.00000000	0.00019976	0.00111725	0.00131372	0.00203527	0.00040566
0.00000000	0.00001660	0.00014136	0.00014312	0.00042430	0.00014480
